num_acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201400000001;14;5;7;2015;1;2;1;1;3;11;route de don;M;0;0;590
201400000002;14;5;31;430;1;2;1;1;6;11;106 ROUTE DE DON;M;0;0;590
201400000003;14;8;23;1800;1;2;9;1;3;52;75 bis rue jean jaures;M;0;0;590
201400000004;14;6;12;1700;1;2;1;1;1;25;rue des Sablonnieres D41;M;0;0;590
201400000005;14;6;23;500;2;1;1;1;1;25;;M;0;0;590
201400000006;14;10;11;630;5;1;6;2;2;550;;M;0;0;590
201400000007;14;10;11;1445;1;2;9;1;7;281;Chemin des Loups;M;0;0;590
201400000008;14;10;16;1200;1;2;4;1;6;51;Rue gabriel Péri;M;5053223;281490;590
201400000009;14;11;2;1100;1;1;1;1;1;257;;M;0;0;590
201400000010;14;11;30;1930;5;2;1;8;6;524;RUE DE VERDUN;M;0;0;590
201400000011;14;5;2;500;3;1;1;1;1;411;;M;0;0;590
201400000012;14;6;3;1315;1;1;1;1;3;34;;M;0;0;590
201400000013;14;11;21;845;1;1;1;1;6;34;;M;0;0;590
201400000014;14;12;2;930;1;1;1;8;3;34;;M;0;0;590
201400000015;14;12;19;930;1;1;1;2;5;34;;M;0;0;590
201400000016;14;1;12;730;2;1;1;9;6;592;;M;0;0;590
201400000017;14;1;26;1915;3;1;2;2;3;592;;M;0;0;590
201400000018;14;2;22;945;1;1;1;7;2;592;;M;0;0;590
201400000019;14;3;14;1500;1;2;2;1;3;592;rue J. BEGHIN;M;0;0;590
201400000020;14;4;18;1630;1;1;1;1;7;411;;M;5048600;305900;590
201400000021;14;7;2;1400;1;1;1;1;3;411;;M;0;0;590
201400000022;14;7;14;1915;1;2;1;1;1;452;place de la r?publique;M;0;0;590
201400000023;14;1;13;1415;1;1;3;1;3;94;;M;0;0;590
201400000024;14;3;11;1100;1;1;1;1;1;130;;M;0;0;590
201400000025;14;6;4;1400;1;1;1;1;1;110;;M;5095900;226800;590
201400000026;14;6;19;1330;1;1;1;1;1;307;;M;5086200;221000;590
201400000027;14;6;19;1530;1;1;1;1;7;307;;M;5087600;219900;590
201400000028;14;9;5;1345;1;1;3;1;3;576;;M;5097700;231400;590
201400000029;14;9;17;1245;1;1;1;1;2;110;;M;5097100;228000;590
201400000030;14;2;6;1100;1;1;1;1;3;663;;M;0;0;590
201400000031;14;2;21;1445;1;2;1;1;6;663;CD916 route de bergues;M;0;0;590
201400000032;14;6;12;1815;1;2;1;7;6;89;rue de la poste;M;0;0;590
201400000033;14;8;5;930;1;2;1;1;3;305;rue du st sacrement;M;0;0;590
201400000034;14;9;28;1915;1;1;1;1;6;663;;M;0;0;590
201400000035;14;10;31;1100;1;2;2;1;3;663;route de bergues;M;0;0;590
201400000036;14;12;2;845;2;2;1;1;6;663;CD 17 route d'Herzeele;M;0;0;590
201400000037;14;4;16;1300;1;1;1;1;6;416;;M;0;0;590
201400000038;14;5;24;45;3;1;1;1;3;536;;M;0;0;590
201400000039;14;6;15;1630;1;2;1;1;6;590;30 rue de tannay;M;0;0;590
201400000040;14;7;10;2230;3;1;1;1;6;416;;M;0;0;590
201400000041;14;8;1;1715;1;1;1;1;2;87;Rue de Cassel;M;5066771;245764;590
201400000042;14;8;14;1015;1;2;1;1;6;120;Route de Bailleul;M;0;0;590
201400000043;14;10;7;915;1;2;1;2;6;84;Rue Plockyn;M;0;0;590
201400000044;14;10;19;1000;1;1;1;1;7;120;;M;0;0;590
201400000045;14;11;3;2000;5;1;6;3;7;582;;M;0;0;590
201400000046;14;3;11;1730;1;2;9;1;1;237;rue de Godewaersvelde;M;0;0;590
201400000047;14;6;23;1545;1;1;2;1;3;401;;M;0;0;590
201400000048;14;12;1;715;3;1;1;1;5;401;;M;0;0;590
201400000049;14;12;8;430;3;1;1;9;7;401;;M;0;0;590
201400000050;14;1;8;1800;5;2;1;2;6;212;18 rue de LILLE;M;5064334;272739;590
201400000051;14;4;5;1515;1;1;1;7;3;212;;M;0;0;590
201400000052;14;5;28;2000;1;1;1;1;6;581;;M;5067300;278000;590
201400000053;14;10;21;1115;1;2;1;3;1;180;rue du louf;M;5069000;271500;590
201400000054;14;11;12;1000;1;2;1;1;3;268;418 grand chemin;M;5064000;270600;590
201400000055;14;6;10;1245;1;2;1;1;3;400;52, rue des capucins;M;0;0;590
201400000056;14;6;14;615;1;1;1;1;7;400;;M;0;0;590
201400000057;14;6;16;1630;1;1;2;1;3;400;;M;0;0;590
