num_acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200800000001;9;0;0;;1;0;0;0;0;1;2;0;25;1;0;1;0
200800000002;3;1215;0;;2;2;71;0;0;0;1;0;63;1;0;3;0
200800000003;3;231;0;;2;2;0;0;0;1;1;0;60;2;0;1;3
200800000004;3;243;0;;2;2;2;900;0;1;3;0;67;1;0;1;0
200800000005;3;243;0;;2;0;0;0;0;1;1;0;57;1;0;1;0
200800000006;3;22;0;;2;2;48;200;0;1;2;0;48;2;0;1;0
200800000007;3;17;0;;2;0;18;280;0;2;1;0;63;2;5;1;0
200800000008;3;5;0;;3;0;0;0;0;1;1;0;65;1;0;1;0
200800000009;3;43;0;;0;2;21;200;0;1;3;20;160;2;5;1;0
200800000010;3;705;0;;2;0;19;100;0;2;1;0;0;1;0;3;0
200800000011;4;205;0;;2;2;2;7;0;0;0;0;76;1;0;1;0
200800000012;4;0;0;;2;2;0;0;0;1;4;0;35;1;0;1;0
200800000013;3;5;0;;2;2;47;640;0;1;2;0;55;1;0;1;0
200800000014;3;4;4;;2;2;3;0;0;0;2;0;46;1;0;1;0
200800000015;3;708;0;;2;0;98;0;0;2;3;0;61;8;0;1;0
200800000016;3;936;0;;2;2;51;300;0;1;1;0;75;2;0;1;0
200800000017;3;936;0;;2;2;59;500;0;1;1;0;0;1;0;1;0
200800000018;3;936;0;;2;2;51;280;0;1;1;0;69;1;0;1;0
200800000019;3;75;0;;2;0;19;700;0;1;3;0;60;3;0;1;0
200800000020;2;21;0;;2;2;9;480;0;2;1;0;70;2;0;1;0
200800000021;2;21;0;;2;2;17;0;0;2;1;0;74;2;0;1;0
200800000022;3;707;0;;2;2;18;0;0;1;1;0;65;2;0;1;0
200800000023;3;707;0;;2;2;24;955;0;1;1;0;76;8;0;1;0
200800000024;3;708;0;;2;1;39;500;0;0;1;0;68;1;0;1;0
200800000025;3;708;0;;0;1;0;0;0;0;1;0;0;1;0;4;0
200800000026;3;6089;0;;2;2;113;650;0;1;1;0;78;7;0;1;0
200800000027;3;57;0;;2;0;2;550;0;2;3;0;73;2;0;1;0
200800000028;3;710;0;;2;0;0;0;0;1;3;0;0;2;0;3;0
200800000029;3;52;0;;2;2;0;0;0;1;3;0;35;1;2;3;0
200800000030;3;703;0;;2;0;47;300;0;1;1;0;76;2;0;1;0
200800000031;4;0;0;;2;1;0;0;0;2;2;0;41;2;0;1;0
