num_acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200900000001;0;13;0;0;1;2;1;A01
200900000002;0;7;0;0;2;2;1;B02
200900000002;0;7;0;0;2;5;13;A01
200900000003;0;10;0;0;2;2;15;A01
200900000003;0;33;0;0;2;8;1;B02
200900000004;0;7;0;13;0;1;14;A01
200900000005;0;7;0;0;1;0;21;A01
200900000006;0;10;0;8;0;9;17;A01
200900000007;0;7;0;2;0;7;1;A01
200900000008;0;10;0;0;1;2;0;A01
200900000009;0;10;0;0;2;1;1;B02
200900000009;0;10;0;0;2;1;10;A01
200900000010;0;7;0;13;0;3;1;A01
200900000011;0;1;0;12;2;8;1;B02
200900000011;0;14;0;0;9;2;12;A01
200900000012;0;10;0;13;0;1;1;A01
200900000013;0;7;0;13;0;3;17;A01
200900000014;0;33;0;0;1;1;1;A01
200900000015;0;99;0;0;1;1;1;A01
200900000016;0;7;0;0;2;3;13;A01
200900000016;0;14;0;0;2;3;1;B02
200900000017;0;31;0;0;2;1;1;B02
200900000017;0;7;0;0;2;1;19;A01
200900000018;0;7;0;8;0;3;1;A01
200900000019;0;7;0;0;2;1;13;A01
200900000019;0;14;0;0;2;1;1;B02
200900000020;0;7;0;0;2;4;11;A01
200900000020;0;32;0;0;2;1;17;B01
200900000021;0;7;0;0;2;5;1;B01
200900000021;0;7;0;0;2;2;1;A01
200900000022;0;7;0;0;2;1;2;A01
200900000022;0;10;0;0;2;4;2;B01
200900000023;0;31;0;0;2;1;1;B01
200900000023;0;7;0;0;2;2;9;A01
200900000024;0;32;0;0;2;1;1;B01
200900000024;0;10;0;0;2;2;15;A01
200900000025;0;32;0;0;2;1;1;A01
200900000025;1;1;0;0;2;0;19;Z01
200900000026;0;33;0;1;2;7;17;B01
200900000026;0;7;0;0;2;8;11;A01
200900000027;0;32;0;12;0;8;13;A01
200900000028;0;7;0;0;2;2;1;A01
200900000028;0;30;0;0;2;1;1;B01
200900000029;0;2;0;0;1;1;1;A01
200900000030;0;7;0;0;2;4;4;A01
200900000030;0;7;0;0;2;6;1;B01
200900000031;0;7;0;4;0;2;14;A01
200900000032;0;30;0;0;2;2;16;A01
200900000032;0;7;0;0;2;3;1;B01
200900000033;0;7;0;0;2;3;15;B01
200900000033;0;32;0;0;2;1;1;A01
200900000034;0;33;0;0;2;4;2;B01
200900000034;0;31;0;0;2;1;2;A01
200900000035;0;7;0;0;2;2;1;A01
200900000035;0;7;0;0;2;0;7;B01
200900000036;0;30;0;0;2;7;17;A01
200900000036;0;7;0;0;2;3;15;B01
200900000037;0;30;0;0;2;4;2;B01
200900000037;0;30;0;0;2;1;2;A01
200900000038;0;2;0;0;0;0;1;A01
200900000039;0;10;0;0;2;3;22;A01
200900000039;0;1;0;0;2;1;1;B01
200900000040;0;1;0;0;2;4;16;A01
200900000040;0;33;0;0;2;7;1;B01
200900000041;0;7;0;0;1;2;15;A01
200900000042;0;7;0;0;2;3;10;A01
200900000042;0;2;0;0;2;1;10;B01
200900000043;0;7;0;0;2;3;15;A01
